Crop Type,Variety,Soil Type,Soil pH,Nitrogen (ppm),Phosphorus (ppm),Potassium (ppm),Organic Matter (%),Temperature (°C),Precipitation (mm),Fertilizer Type,Fertilizer Amount (kg/ha),Irrigation Type,Irrigation Frequency,Yield (kg/ha),Quality (Grade)
Wheat,B,Sandy,5.6,45.14,27.08,44.37,2.53,17.5,63.4,DAP,74.22,Sprinkler,Daily,3188.38,D
Rice,A,Sandy,6.4,34.76,33.77,55.98,2.27,21.2,23.9,MOP,21.81,Sprinkler,Monthly,7943.14,D
Rice,A,Peaty,7.3,37.02,17.77,30.24,1.09,33.1,158.2,MOP,85.99,Flood,Weekly,4530.58,B
Rice,E,Sandy,5.6,14.76,22.34,90.45,1.88,33.4,87.2,DAP,86.25,Sprinkler,Daily,3150.25,B
Wheat,A,Silty,5.7,96.54,31.16,26.22,2.18,31.8,186.6,Organic,38.99,Drip,Weekly,1203.02,C
Cotton,E,Silty,7.1,64.61,25.04,28.7,1.12,34,53.4,Urea,25.52,Flood,Biweekly,5758.68,E
Maize,E,Peaty,7.6,42.55,39.94,25.74,1.12,27,193.4,Organic,97.32,Sprinkler,Daily,1437.86,E
Cotton,D,Silty,6.3,12.02,24.18,73.04,3.85,29,176.6,Compost,65.42,Manual,Daily,3754.64,C
Rice,E,Peaty,7.3,66.45,24.65,49.96,3.5,15.9,0.6,Urea,68.6,Sprinkler,Daily,5932.3,A
Cotton,B,Sandy,5.5,92.19,34.61,73.25,1.6,16.6,82.2,DAP,63.53,Sprinkler,Weekly,3569.64,D
Rice,C,Sandy,7.5,19.77,39.29,80.02,4.1,30.9,155.1,Organic,64.46,Sprinkler,Biweekly,6254.13,C
Rice,E,Sandy,5.8,14.3,16.16,45.62,4.51,23.3,144,Compost,89.06,Sprinkler,Monthly,4195.87,E
Wheat,A,Sandy,6.2,78.57,24.93,20.96,3.54,31,97,Organic,55.31,Manual,Daily,4732.76,C
Wheat,A,Clay,6.7,91.78,43.18,13.6,3.12,25.6,79.1,Compost,21.07,Flood,Daily,5597.78,D
Cotton,E,Peaty,5.7,47.49,48.13,85.47,2.78,21.7,33.8,Compost,28.54,Flood,Weekly,6746.47,D
Maize,C,Sandy,5.8,27.98,5.25,41.93,2.69,27.4,23.6,DAP,28.42,Flood,Monthly,2815.37,B
Cotton,B,Sandy,7.4,77.99,17.43,56.95,2.65,26,185.9,MOP,66.16,Manual,Monthly,3726.39,E
Wheat,C,Sandy,6.7,58.34,32.99,99.34,1.38,24.3,79.8,DAP,91.07,Drip,Biweekly,7063.13,D
Rice,B,Clay,6.5,23.25,24.24,83.62,3.83,15.1,199,Organic,91.75,Manual,Daily,5452.38,B
Maize,A,Sandy,7.3,77.95,35.04,69.4,1.81,32.2,44.8,DAP,73.01,Sprinkler,Biweekly,7452.94,B
Wheat,D,Sandy,6.5,70.91,26.66,82.63,1.91,32.6,33.2,Compost,23.21,Flood,Weekly,7028.83,B
Cotton,B,Clay,6.2,56.17,27.08,11.43,2.44,34.1,189.3,Organic,69.97,Drip,Monthly,6489.67,B
Soybean,C,Clay,6.5,74.22,19.29,52.31,1.44,21.7,26.2,DAP,51.02,Flood,Daily,3816.17,A
Cotton,B,Clay,7.9,13.38,36.72,76.68,4.6,33.3,156.6,Compost,94.79,Drip,Weekly,1275.35,C
Cotton,C,Sandy,7.5,25.88,14.49,96.1,3.96,16.3,140.3,Compost,66.57,Flood,Biweekly,6125.81,D
Rice,A,Peaty,5.7,33.19,33.46,39.04,1.59,34.2,3.8,Organic,27.53,Flood,Monthly,1107.76,B
Wheat,D,Peaty,7.4,74.94,45.78,98.5,2.05,35,64,DAP,34.28,Flood,Weekly,2062.47,D
Cotton,D,Clay,7.2,32.77,24.58,33.88,1.6,15.5,189.6,DAP,90.73,Flood,Daily,4544.61,D
Soybean,A,Silty,8,65.4,21.7,44.67,2.17,29.7,22.8,Organic,95.9,Flood,Monthly,5034.96,B
Wheat,B,Clay,6.7,74.67,46.1,17.17,3.36,19.3,43.1,Compost,37.34,Sprinkler,Weekly,5391.25,A
Rice,A,Loamy,6.2,67.85,23.68,87.74,3.69,21,73.1,Urea,28.33,Flood,Daily,6032.43,A
Rice,E,Sandy,6.7,15.51,45.23,73.43,1.01,25.1,57.8,Compost,79.29,Manual,Monthly,2462.71,A
Rice,C,Clay,6.9,72.34,41.16,26.95,2.76,25.4,139.1,DAP,26.04,Drip,Monthly,6979.02,C
Rice,A,Sandy,5.9,19,15.88,56.77,2.45,19.9,97.9,Urea,64.48,Flood,Biweekly,3627.81,E
Rice,A,Clay,7.8,86.27,28.05,43.42,2.1,32.2,2,DAP,26.33,Sprinkler,Daily,1774.3,E
Soybean,C,Peaty,7.9,60.91,49.21,90.65,3.68,29.2,22.6,Urea,89.1,Manual,Biweekly,1492.48,E
Soybean,D,Clay,7.1,72.25,39.23,79.27,3.26,27,25.7,Organic,67.09,Drip,Weekly,1173.65,E
Maize,E,Peaty,8,71.06,36.23,65.08,3.41,19.3,68.9,Urea,20.09,Sprinkler,Monthly,6026.28,D
Maize,B,Peaty,6.9,84.71,19.98,15.81,3.95,17.2,45.7,MOP,21.09,Manual,Biweekly,5315.41,D
Cotton,D,Silty,7,68.47,23.82,31.42,3.72,17.2,59.5,Compost,20.51,Flood,Daily,1436.68,A
Soybean,E,Silty,6.4,80.07,40.33,26.92,1.39,29.7,7.4,DAP,53.35,Sprinkler,Monthly,3935.76,C
Cotton,A,Sandy,6.9,18.09,34.21,76.2,1.69,17.1,149.1,Organic,43.07,Sprinkler,Monthly,2372.8,A
Soybean,C,Loamy,6,16.59,35.05,69.26,1.5,20.2,79.2,Compost,33.46,Sprinkler,Biweekly,1515.2,C
Maize,B,Peaty,5.7,40.28,12.28,50.35,3.32,20.5,12,MOP,36.37,Sprinkler,Weekly,1953.71,C
Soybean,E,Sandy,6.8,65.38,20.23,51.46,2.23,30.8,87.1,Organic,77.54,Sprinkler,Weekly,6159.86,B
Soybean,A,Clay,7.8,76.9,22.31,66.36,3.32,31.8,10.8,Organic,28.19,Sprinkler,Monthly,4826.03,D
Maize,E,Sandy,7.2,52.41,5.37,90.15,2.01,29.2,59,Compost,41.8,Drip,Weekly,6497.4,E
Wheat,A,Clay,5.6,96.97,21.6,19.2,2.44,26.7,158.1,Organic,70.32,Flood,Biweekly,6352.28,B
Cotton,D,Sandy,7,46.09,13.06,80.66,4.07,30.5,119.4,Urea,61.84,Sprinkler,Monthly,2814.66,B
Cotton,E,Silty,6.9,77.66,19.08,91.06,1.82,25.9,156.8,Urea,74.25,Manual,Monthly,5809.27,D
Soybean,A,Loamy,5.7,60.89,17.86,46.28,3.63,23.1,189.7,Organic,28.22,Manual,Monthly,4973.55,E
Rice,D,Silty,5.6,58.95,43.45,25.18,2.28,17.4,91,Urea,68.35,Sprinkler,Daily,1203.11,D
Rice,C,Silty,6.4,51.76,47.28,28.99,1.98,25.7,41.4,MOP,50.07,Drip,Daily,6378.79,E
Wheat,B,Loamy,6,69.41,32.33,36.82,1.84,15.1,174.3,DAP,32.06,Flood,Biweekly,7181.39,C
Maize,B,Sandy,7.8,79.67,34.62,98.07,4.86,22.3,37.7,Compost,94.62,Flood,Monthly,7126.28,D
Wheat,C,Loamy,6.9,96.59,48.01,90.95,3.55,28.5,40.3,MOP,34.72,Manual,Monthly,3328.19,D
Soybean,D,Loamy,5.9,97.99,40.33,96.45,4.81,15.1,149,DAP,83.42,Manual,Daily,5895.64,E
Wheat,D,Peaty,6.1,26.19,7.92,39.33,4.95,26.2,93,Organic,26.69,Sprinkler,Monthly,3398.56,C
Wheat,C,Loamy,7.4,51.88,43.04,58.68,1.47,25.3,36.6,Organic,24.87,Flood,Biweekly,1192.13,A
Soybean,B,Peaty,6.4,74.24,35.37,78.82,3.53,16,139.6,Urea,21.53,Sprinkler,Daily,5535.09,B
Rice,B,Clay,6.8,75.65,6.97,77.55,4.63,30.9,173.3,Organic,77.78,Manual,Biweekly,6140.38,B
Cotton,D,Silty,5.8,14.36,40.99,64.26,2.4,26.5,55.4,DAP,96.41,Manual,Monthly,7181.25,E
Rice,B,Silty,6.1,72.2,48.02,76.86,1.59,29,74.6,Organic,50.94,Sprinkler,Biweekly,5339.27,C
Soybean,E,Loamy,6.8,55.71,6.49,62.98,4.25,34.1,154.1,DAP,72.29,Drip,Weekly,1024.88,D
Maize,E,Peaty,7,52.33,48.38,66.26,3.38,33.5,3,Urea,21.35,Manual,Monthly,1019.31,A
Cotton,A,Loamy,5.6,57.38,46.12,50.2,3.48,21,25.1,Compost,53.86,Sprinkler,Weekly,5996.38,B
Rice,A,Clay,7.1,44.68,10.66,82.91,4.62,20.5,72.1,Urea,78.23,Sprinkler,Daily,1953.5,D
Rice,C,Sandy,7.6,85.15,8.22,25.89,1.38,25.6,68.9,DAP,81.36,Flood,Monthly,3015.2,D
Maize,E,Peaty,6.7,80.17,22.61,10.11,3.73,28.2,130.7,Organic,58.83,Manual,Daily,6746.39,D
Wheat,C,Sandy,5.6,57.08,21.55,46.32,4.18,21.4,30.8,MOP,55.2,Sprinkler,Weekly,7553.9,B
Cotton,B,Loamy,7,63.68,28.3,87.06,4.06,20.9,29,Organic,92.09,Drip,Biweekly,6686.62,B
Cotton,B,Peaty,7.7,26.83,27,70.66,3.6,19.9,62.6,DAP,23.23,Flood,Biweekly,2858.72,E
Rice,A,Sandy,7.1,66.33,30.08,62.15,3.2,17.4,158.1,DAP,26.26,Manual,Monthly,4762.84,C
Cotton,A,Clay,6.6,73.74,14.34,58.1,2.26,17.3,48.7,MOP,25.14,Manual,Biweekly,6473.67,A
Rice,B,Sandy,5.6,58.71,8.97,68.79,1.25,33.2,132.4,DAP,91.39,Manual,Biweekly,1544.76,A
Maize,A,Peaty,5.8,82.63,13.46,78.83,4.41,33.3,108.5,MOP,51.31,Sprinkler,Biweekly,3851.98,E
Cotton,A,Clay,6.6,66.18,31.8,98.28,1.68,29.6,171.3,MOP,28.08,Flood,Biweekly,4768.54,D
Maize,A,Silty,6.9,40.82,45.14,84.09,3.96,24.3,20,Organic,98.63,Manual,Weekly,3271.01,B
Cotton,A,Peaty,6,32.77,6.21,45.78,3.35,24.3,57.6,MOP,55.72,Manual,Daily,2605.96,C
Rice,C,Silty,7.2,14.59,34.49,93.63,2.16,24.8,131.7,DAP,87.37,Drip,Daily,7680,B
Rice,D,Sandy,7.9,78.47,29.91,35.9,4.03,34.2,170.6,DAP,21.44,Drip,Monthly,3771.47,C
Cotton,A,Clay,6.9,58.13,32.79,24.7,1.43,33.9,175,DAP,80.57,Sprinkler,Daily,4480.8,E
Rice,D,Clay,7.7,66.38,10.28,77.14,2.11,20.5,134.8,Organic,33.11,Drip,Monthly,7930.88,A
Cotton,E,Silty,6.9,59.99,34.73,96.79,2.04,17.9,100.9,Compost,69.22,Sprinkler,Daily,2531.48,A
Maize,E,Peaty,7.5,66.46,32.61,44.46,1.51,24.2,178.8,MOP,47.91,Manual,Monthly,3358.74,B
Cotton,B,Silty,6.9,23.36,9.59,25.55,4.07,27.7,169.2,Compost,94.37,Manual,Monthly,7952.69,D
Wheat,A,Loamy,5.8,48.68,35.96,52.81,2.29,26.8,38,DAP,89.81,Sprinkler,Monthly,2893.31,A
Soybean,C,Loamy,6.3,57.88,44.32,85.79,3.4,22.5,159.2,MOP,30.41,Drip,Monthly,7460.59,E
Maize,E,Loamy,6.8,91.93,7.32,47.77,2.34,21.8,16.4,DAP,25.08,Drip,Biweekly,3943.94,A
Wheat,C,Clay,8,40.44,40.7,15.18,3.29,23.3,19,Compost,56.82,Flood,Daily,4776.13,D
Cotton,B,Peaty,6.6,93.09,37.42,83.76,4.24,21.9,163.7,Urea,91.68,Manual,Weekly,1001.37,B
Maize,B,Silty,7.6,39.35,9.71,97.02,1.77,23.9,33.8,Organic,66.78,Flood,Daily,3816.02,E
Wheat,E,Sandy,6,10.24,27.34,79.73,1.03,24.7,183.1,Urea,46.93,Drip,Biweekly,3097.95,C
Soybean,B,Clay,6.1,86.21,27.02,34.97,1.68,27.1,150.9,Urea,97.96,Sprinkler,Daily,1728.81,D
Cotton,A,Clay,6,33.58,7.96,42.3,3.62,23.7,193.4,MOP,41.16,Flood,Biweekly,2289.9,B
Maize,E,Silty,6.4,56.77,12.35,16.97,4.83,17.7,153.9,DAP,72.71,Sprinkler,Weekly,5213.31,C
Cotton,A,Sandy,7,35.83,40.42,58.79,1.11,26.8,159.8,DAP,57.02,Drip,Biweekly,5456.52,B
Maize,E,Sandy,6.6,48.26,5.87,30.17,3.15,22.1,98.5,MOP,44.15,Manual,Monthly,5816.86,D
Rice,E,Peaty,6.7,45.4,28.34,39.1,1.79,17,121.9,Urea,56.09,Sprinkler,Weekly,7839.97,E
Soybean,C,Loamy,7.5,14.4,36.41,97.67,1.47,24.6,130.4,MOP,44.1,Manual,Daily,3869.07,E
Cotton,A,Sandy,5.9,89.54,20.11,83.7,1.62,28.7,18.8,Organic,74.25,Manual,Daily,6408.17,C
Rice,D,Silty,6.9,79.21,18.12,10.51,2.21,20.7,137.7,MOP,43.55,Sprinkler,Monthly,6645.86,C
Rice,D,Clay,6.9,79.47,40.28,14.19,2.93,35,97.1,Compost,24.98,Flood,Monthly,7035.63,B
Soybean,B,Peaty,7.7,22.8,11.73,10.19,4.33,19.2,178.1,Organic,95.14,Drip,Biweekly,4685.99,C
Wheat,A,Peaty,5.7,76.8,21.01,92.52,3.94,19.4,3.5,MOP,29.85,Sprinkler,Biweekly,5265.83,C
Maize,B,Loamy,6.8,78.77,14.65,39.66,1.58,27.3,149.3,Compost,81.68,Drip,Daily,1421.91,C
Cotton,E,Clay,6.5,94.96,36.21,84.53,2.49,23.1,144.1,Urea,40.65,Manual,Daily,7983.9,C
Wheat,B,Clay,8,78.59,34.22,73.3,4.5,21.8,25.9,Compost,26.6,Sprinkler,Daily,4194.51,B
Maize,C,Silty,7.3,44.69,38.43,49.43,1.17,15.1,132.8,DAP,93.89,Flood,Daily,1237.57,A
Rice,B,Loamy,7.7,59.81,19.96,11.5,4.17,34.9,181.4,MOP,63.92,Flood,Weekly,7374.83,E
Wheat,A,Peaty,5.9,60.9,45.94,76.84,1.84,27.6,67.8,MOP,67.27,Drip,Daily,5505.09,B
Wheat,E,Peaty,8,51.32,30.2,94.92,2.23,15.6,149.6,DAP,90.26,Sprinkler,Daily,7476.42,C
Cotton,A,Loamy,5.9,82.81,14.98,59.71,1.79,22,106,Organic,31.86,Drip,Weekly,4503.53,E
Maize,A,Sandy,6.4,11.71,24.27,67.08,4.06,28.6,87.9,Compost,45.41,Manual,Monthly,2982.24,B
Cotton,C,Clay,6.4,21.36,13.16,64.89,4.44,15.8,17.9,DAP,41.03,Flood,Daily,6188.67,D
Maize,B,Clay,7.5,61.9,19.23,89.2,2.88,25.6,70.7,Compost,35.07,Flood,Weekly,1438.01,E
Soybean,A,Sandy,5.7,74.54,10.44,26.53,1.77,33.7,170.2,DAP,58.91,Flood,Monthly,6414.78,A
Wheat,C,Sandy,7.6,63.41,40.09,75.71,4.56,16.8,154.5,Compost,82.01,Flood,Daily,1103.99,D
Rice,B,Clay,7.8,56.36,6.42,37.02,2.39,19.1,114.5,MOP,35.96,Drip,Monthly,7131.76,C
Cotton,B,Silty,8,79.11,46.82,68.98,3.7,18,195.6,Compost,47.09,Manual,Monthly,3390.85,E
Rice,B,Clay,6.2,71.1,20.09,79.88,4.71,15.5,97,Organic,81.76,Manual,Biweekly,2018.36,D
Wheat,D,Sandy,8,16.2,28.38,46.55,1.08,27.4,177.9,DAP,67.77,Manual,Weekly,6800.17,B
Cotton,C,Peaty,6.5,86.34,27.1,47.31,3.17,21.1,169.5,MOP,87.35,Manual,Biweekly,4651.65,D
Wheat,D,Loamy,7.4,84.62,27.05,95.46,1.01,19,16.8,Organic,47.78,Manual,Weekly,1156.16,D
Maize,C,Peaty,7.4,86.8,28.87,42.57,2.25,30.8,63.8,Urea,27.02,Sprinkler,Weekly,4307.88,E
Cotton,D,Clay,7.9,16.46,48.99,25.32,2.87,21.4,3.9,Urea,96.17,Sprinkler,Weekly,7886.06,D
Cotton,C,Peaty,7.7,99.26,12.44,44.17,4.81,34.3,132.8,Organic,89.03,Sprinkler,Weekly,2850.7,A
Maize,C,Sandy,6.4,74.36,29.47,76.34,3.15,22.7,43.5,MOP,76.2,Drip,Weekly,6707.14,E
Maize,A,Loamy,6.9,93.75,20.84,16.14,2.53,17.3,114.1,DAP,33.55,Sprinkler,Daily,2949.6,E
Soybean,A,Peaty,5.7,29.6,11.91,59.22,4.33,33.9,130.1,Organic,87.23,Flood,Weekly,6900.48,D
Soybean,B,Peaty,6.6,95,34.69,97.86,3.4,27.1,9.6,Compost,84.02,Manual,Weekly,1573.04,D
Cotton,E,Loamy,7.4,20.85,7.87,74.4,4.76,21.1,158.3,Urea,65.2,Drip,Biweekly,1088.31,B
Rice,E,Peaty,7.5,18.47,45.13,17.54,3.27,24.5,13,Organic,20.94,Flood,Daily,6715.68,D
Soybean,D,Peaty,7.1,32.64,11.46,20.88,2.64,18.2,118.1,MOP,88.03,Sprinkler,Weekly,2950.34,B
Maize,A,Sandy,6.7,80.54,15.04,21.35,4.5,17.8,182.1,Compost,49.16,Flood,Biweekly,2196.2,B
Maize,E,Sandy,6.4,96.69,5.42,65.13,1.47,23.5,49.5,Compost,23.82,Sprinkler,Monthly,6280.48,C
Soybean,B,Silty,6.3,21.55,14.67,50.29,2.53,19,31.8,DAP,69.12,Flood,Biweekly,4907.72,D
Soybean,D,Sandy,7.6,71.42,44.74,60.15,4.6,23.5,112.3,DAP,98.92,Flood,Biweekly,1953.96,A
Rice,E,Sandy,6.5,53.89,47.9,65.36,2.95,24.4,192.6,Organic,87.69,Sprinkler,Monthly,1511.16,B
Soybean,A,Peaty,7.9,77.49,6.24,16.25,3.7,22.5,101,Urea,84.94,Flood,Daily,1542.08,C
Wheat,C,Loamy,7.5,30.95,7.83,62.52,4.18,30.1,188.3,MOP,75.14,Drip,Biweekly,2769.41,A
Wheat,A,Clay,7.7,72.78,38.09,98.9,1.6,26.4,123.9,Compost,92.76,Flood,Weekly,1995.25,B
Rice,D,Clay,7.1,30.54,28.64,30.64,1.49,29.5,18.5,Urea,91.72,Sprinkler,Biweekly,2491.39,E
Cotton,C,Peaty,7.7,90.31,49.5,21.41,4.87,28.7,59.1,Organic,27.28,Manual,Monthly,7176.31,A
Rice,E,Sandy,7.1,75.52,31.33,67.55,2.68,26.8,49.7,Organic,32.15,Sprinkler,Daily,5731.41,B
Soybean,B,Loamy,6.4,60.4,16.14,30.12,3.1,31.3,69.7,DAP,44.33,Drip,Weekly,4702.99,A
Maize,C,Clay,6.9,93.41,33.98,25.23,1.68,20,139.7,Compost,39.22,Manual,Monthly,4383.01,B
Maize,A,Peaty,6.3,78.47,40.21,34.85,1.64,20.1,78.3,DAP,88.5,Flood,Biweekly,3831.55,B
Wheat,B,Silty,5.6,57.46,34.34,67.64,2.16,17.4,62.7,Compost,99.2,Sprinkler,Weekly,3383.53,A
Rice,D,Clay,7.1,76.83,35.34,17.9,3.82,28.8,153.7,DAP,77.07,Sprinkler,Biweekly,3883.7,B
Rice,E,Silty,5.6,19.1,5.7,60.19,4.45,27.7,182.2,Compost,51.64,Manual,Monthly,3792.52,D
Cotton,C,Peaty,7.7,82.67,21.38,94.16,2.87,19.5,28.5,Organic,38.02,Drip,Monthly,1294.16,C
Wheat,C,Silty,6.4,84.85,30.72,96.76,2.34,33.7,7.4,Compost,39.47,Manual,Daily,2113.11,B
Soybean,A,Clay,7.1,61.37,15.68,37.75,4.06,34.1,189.6,Organic,71.01,Sprinkler,Biweekly,1446.04,B
Wheat,A,Loamy,6.8,76.49,13.73,82.86,4.91,28.7,22.7,Urea,48.11,Flood,Monthly,2914.06,D
Cotton,A,Silty,7.2,61.84,7.73,86.83,3.31,28.7,88.3,Compost,62.57,Flood,Weekly,6324.94,A
Soybean,E,Sandy,6.6,94.33,41.75,60.36,4.33,28.7,64.9,DAP,78.54,Flood,Biweekly,4736.81,A
Rice,D,Sandy,7.9,89.05,21.09,60.51,1.57,22,121,DAP,81.64,Drip,Daily,6938.13,E
Wheat,B,Sandy,6.7,20.87,39.64,74.31,3.94,22.2,80.2,DAP,83.52,Drip,Daily,1295.56,E
Rice,B,Clay,6.6,70.69,12.41,12.64,3.29,17.9,185.1,Urea,81.39,Flood,Monthly,5442.78,C
Wheat,C,Clay,6.6,76.93,30.51,20.64,1.7,28.7,196,Organic,59.64,Flood,Daily,4416.7,E
Soybean,E,Clay,5.8,87.44,23.79,51.51,1.54,16.1,192.5,Compost,60.76,Manual,Monthly,3615.46,A
Cotton,D,Sandy,6.9,52.15,7.78,98.19,3.74,32,90.9,DAP,91.85,Sprinkler,Biweekly,6341.12,C
Cotton,B,Clay,6.9,60.08,33.2,49.98,1.26,29.9,75.8,Compost,59.91,Drip,Biweekly,1677.78,D
Rice,D,Silty,6.5,17.76,24.76,77.25,4.2,17.3,34.7,Compost,46.26,Sprinkler,Monthly,4261.79,D
Rice,D,Loamy,7.6,37.24,29.95,33.9,2.33,27.1,113.3,MOP,55.55,Drip,Monthly,1788.03,A
Rice,E,Sandy,6.1,11.14,41.63,88.2,3.12,22.9,169.3,MOP,34.29,Sprinkler,Weekly,7636.61,A
Soybean,A,Sandy,7,73.21,22.88,73.03,4.75,25.6,38.8,DAP,79.45,Sprinkler,Monthly,7263.18,D
Cotton,C,Clay,7.8,29.01,17.58,78.76,3.87,19.6,125.8,Compost,41.05,Drip,Weekly,2595.64,A
Soybean,B,Peaty,7.7,37,27.47,66.82,3.47,28.7,176.7,Organic,65.77,Flood,Biweekly,1656.09,B
Cotton,D,Silty,7.7,75.75,23.08,76.37,1.91,22.6,72.3,MOP,95.04,Drip,Daily,2019.88,B
Cotton,C,Peaty,7.3,42.48,40.03,93.49,1.73,23,72.4,MOP,28.33,Manual,Biweekly,2837.83,E
Cotton,D,Clay,6.3,97.44,33.17,25.27,2.64,24.1,146.7,MOP,36.7,Sprinkler,Monthly,2999.05,D
Rice,D,Peaty,7,56.5,33.04,15.86,4.14,33.3,177.9,Organic,24.89,Flood,Weekly,6376.92,D
Maize,E,Sandy,6.3,52.26,28.05,89.48,3.2,19.9,52.3,Organic,51.13,Manual,Daily,1359.69,B
Rice,B,Sandy,7.9,34.6,16.61,89.87,3.26,29.8,174.1,DAP,42.73,Sprinkler,Weekly,2995.22,B
Cotton,D,Peaty,6.8,94.83,26.12,14.93,3.12,30.9,115.9,DAP,98.3,Drip,Biweekly,2304.84,A
Wheat,C,Silty,6.8,70.03,30.98,96.92,1.69,18.7,88.9,Organic,54.45,Manual,Monthly,6895.5,D
Cotton,A,Peaty,7,43.63,12.84,71.03,2.3,28.7,145.2,Organic,34.33,Flood,Monthly,1395.71,D
Cotton,C,Sandy,7.4,52.92,49.3,70.58,2.78,31.2,192.8,Organic,89.64,Flood,Weekly,2968.21,E
Maize,A,Loamy,6.6,49.48,40.14,47.99,2.44,22,114.6,Organic,38.61,Flood,Daily,1518.68,A
Soybean,E,Sandy,5.8,13.77,42.71,55.81,1.39,33,84.7,Compost,37.39,Sprinkler,Monthly,1657.53,B
Maize,D,Peaty,7.2,36.35,40.73,45.68,1.12,17.3,57.4,DAP,62.3,Drip,Daily,4536.56,C
Soybean,D,Peaty,6.4,94.96,27.87,23.54,4.91,25.8,31.4,Compost,47.15,Sprinkler,Daily,4234.98,B
Rice,B,Silty,7.5,39.1,7.67,54.54,1.69,33.7,155.5,Compost,43.17,Sprinkler,Daily,7348.29,B
Wheat,B,Silty,6.9,78.09,27.21,52.89,1.38,19.7,198,Organic,25.68,Drip,Biweekly,7913.72,D
Soybean,E,Sandy,6.7,92.14,18.87,75.15,2.22,22.1,154.4,Urea,47.98,Sprinkler,Biweekly,3225.4,E
Soybean,B,Silty,6.1,82.29,6.38,18.21,2.87,29.1,174,Organic,76.57,Manual,Daily,4785.44,A
Cotton,C,Peaty,7.1,15.17,34.88,44.03,3.57,26.5,25,Urea,81.74,Sprinkler,Weekly,4475.14,B
Wheat,B,Peaty,7,30.56,26.89,97.16,3.24,28.8,31.9,Organic,57.35,Drip,Weekly,2739.99,C
Rice,C,Peaty,6.4,15.04,9.41,74.78,2.4,27,167.6,Urea,40.01,Sprinkler,Weekly,7167.94,E
Rice,B,Peaty,6.7,99.65,22.39,19.15,2.47,16,51.2,MOP,90.57,Drip,Monthly,5703.75,D
Soybean,C,Peaty,7.3,59.87,28.54,32.95,2.23,16.5,21.3,Compost,24.52,Sprinkler,Weekly,7020.1,D
Maize,B,Silty,7.1,92.7,46.65,55.6,4.19,30.5,118.8,Organic,20.79,Flood,Daily,6500.8,A
Soybean,D,Sandy,7.2,10.18,30.16,73.74,3.75,27.1,14.7,Organic,23.25,Manual,Biweekly,6472.96,A
Rice,B,Clay,7.1,92.2,11.53,69.1,3.36,28.6,199.8,Urea,83.78,Sprinkler,Biweekly,6665.78,A
Maize,A,Silty,6.8,92.31,16.2,71.07,3.23,33.7,80.9,MOP,96.01,Flood,Weekly,7096.8,C
Wheat,D,Clay,5.7,42.95,35.3,18.76,4.31,18.6,196.7,DAP,80.2,Drip,Daily,7291.11,D
Maize,E,Clay,5.7,54.76,21.69,64.93,4.81,23.9,4,Urea,30.94,Drip,Daily,4402.72,D
Wheat,E,Silty,6.7,86.67,38.08,94.7,4.51,18.6,190.2,Organic,90.11,Sprinkler,Daily,6372.13,A
Soybean,E,Peaty,6.1,28.33,17.81,20.86,1.85,31.5,100.8,Urea,64.18,Flood,Daily,4049.4,D
Cotton,E,Clay,7.2,12.57,40.11,11.29,1.4,28,27,Urea,84.97,Sprinkler,Monthly,7395.13,D
Cotton,C,Clay,7.5,68.36,26.47,27.87,2.32,32.9,154.7,MOP,86.17,Manual,Biweekly,3275.6,E
Rice,B,Loamy,7.2,68.96,39.78,68.92,1.59,34.3,174.1,DAP,94.81,Sprinkler,Monthly,4944.53,D
Maize,E,Loamy,5.8,26.39,8.26,23.02,3.21,16.5,0.6,Compost,83.24,Manual,Daily,3086.95,C
Soybean,B,Loamy,5.7,63.6,29.84,53.86,1.51,25.7,148.3,DAP,40.84,Sprinkler,Monthly,5696.64,D
Wheat,A,Sandy,6.7,20.61,14.93,81.14,1.32,21.4,114,Compost,60.21,Drip,Weekly,3881.35,A
Cotton,C,Loamy,6.5,79.65,19.97,85.45,1.08,27.4,69.3,Urea,95.4,Flood,Daily,2616.51,A
Maize,D,Loamy,7.8,26.9,17.22,31.57,4.52,19.1,95.2,Organic,76.35,Flood,Monthly,2152.34,D
Soybean,B,Loamy,7.7,20.85,21.63,85.06,3.26,20.8,142.5,Compost,29.72,Drip,Daily,2044.17,A
Cotton,B,Loamy,7.5,14.39,33.97,53,4.01,34.7,191.6,Compost,79.26,Drip,Daily,6346.17,A
Rice,D,Silty,6,97.19,31.22,73.17,2.66,24.1,190.9,Urea,67.24,Drip,Biweekly,6161.04,B
Wheat,A,Loamy,7.9,80.09,35.84,83.72,1.86,28.9,137.3,Compost,59.01,Drip,Weekly,6619.17,A
Wheat,B,Silty,6.7,83.99,20.28,33.76,1.06,25,196.7,MOP,98.21,Flood,Daily,3640.83,B
Maize,D,Peaty,8,97.07,19.07,10.49,1.79,18.5,103.1,DAP,91.53,Manual,Monthly,4103.37,B
Soybean,A,Sandy,6.9,78.92,41.09,93.49,3.37,34.6,7.8,Organic,50.01,Sprinkler,Monthly,1459.52,D
Wheat,C,Clay,7.8,45.82,33.07,38.3,1.19,20.8,70.4,Compost,39.11,Manual,Monthly,3111.5,E
Soybean,B,Clay,7.8,27.07,37.54,58.46,4.54,28.5,144.3,Organic,34.47,Manual,Daily,1796.55,A
